County,Year,Sex,Age,White,Hispanic,Asian,Pac.Isl,Black,Amer.Ind,Multirace
1,2000,F,0,2751,2910,1921,63,1346,32,711
1,2000,F,1,2673,2837,1820,70,1343,37,574
1,2000,F,2,2654,2770,1930,64,1442,37,579
1,2000,F,3,2646,2798,1998,64,1455,39,588
1,2000,F,4,2780,2762,2029,85,1558,38,575
1,2000,F,5,2826,2738,1998,93,1632,45,576
1,2000,F,6,2871,2872,1984,78,1657,53,548
1,2000,F,7,2942,2837,1993,94,1732,51,514
1,2000,F,8,3087,2756,1957,85,1817,43,545
1,2000,F,9,3070,2603,2031,83,1819,44,537
1,2000,F,10,3076,2465,1967,89,1820,39,524
1,2000,F,11,3056,2315,1945,77,1802,40,489
1,2000,F,12,3167,2236,1897,71,1762,47,475
1,2000,F,13,3077,2168,1862,78,1570,40,463
1,2000,F,14,2979,2094,1736,82,1573,37,433
1,2000,F,15,3027,2023,1855,93,1524,47,431
1,2000,F,16,2972,1987,1869,79,1543,51,402
1,2000,F,17,2880,2045,1896,69,1552,33,384
1,2000,F,18,2787,2210,2056,93,1442,45,388
1,2000,F,19,2839,2312,2307,92,1376,41,384
1,2000,F,20,2870,2371,2522,86,1469,49,361
1,2000,F,21,2869,2417,2526,92,1462,51,357
1,2000,F,22,3079,2581,2399,86,1445,45,350
1,2000,F,23,3260,2629,2432,83,1490,50,356
1,2000,F,24,3430,2675,2573,77,1540,42,356
1,2000,F,25,3694,2771,2731,73,1597,48,328
1,2000,F,26,3701,2748,2790,74,1636,48,318
1,2000,F,27,3874,2861,2966,88,1696,48,318
1,2000,F,28,4037,2837,3022,76,1773,64,320
1,2000,F,29,4449,2734,3125,87,1915,66,333
1,2000,F,30,4978,2680,3324,86,2097,59,338
1,2000,F,31,4792,2540,3251,85,1847,51,308
1,2000,F,32,4521,2493,3062,101,1667,49,293
1,2000,F,33,4462,2383,2887,82,1719,47,281
1,2000,F,34,4612,2341,2916,73,1877,60,280
1,2000,F,35,5100,2362,3077,90,2110,67,313
1,2000,F,36,5252,2295,3195,92,2030,75,288
1,2000,F,37,5183,2172,3145,91,1909,71,272
1,2000,F,38,5330,2154,2923,90,1922,54,277
1,2000,F,39,5484,1961,2815,95,1924,61,295
1,2000,F,40,5586,1934,2847,99,2044,68,285
