700     800  533   618     1585   1759
801     900   65   131     173     322 
901    1000   40   122     148     337
1001   1100   30   131     134     398
1101   1200   29   137     106     381
1201   1300   21   143     103     444  
1301   1400   19   143      86     427
1401   1500   19   165     108     597
1501   1600   20   167      85     560
1601   1700   24   219      84     682
1701   1800   12   194      86     722
1801   1900   26   298     100     935
1901   2000   15   299      81     978
2001   2100   21   420      74    1589
2101   2200   10   453      87    1714
2201   2300   14   603      82    2322
2301   2400   12   763      80    2885
2401   2500   13   977      80    4149
2501   2600   14  1189      77    4916
2601   2700   10  1654      93    7455
2701   2800   17  1796      93    8855
2801   2900   11  2545     100   14197
2901   3000   9   2947      86   17903
3001   3100   12  2851      92   19969
3101   3200   9   3557      90   27068
3201   3300   9   3324      96   29107
3301   3400   11  3577      79   35627
3401   3500   1   3119      67   32926
3501   3600   9   2952      69   36360
3601   3700   7   2250      58   30612
3701   3800   2   2176      59   32119
3801   3900   3   1573      40   24004
3901   4000   1   1348      35   23217
4001   4100   3    909      30   16232
4101   4200   1    735      19   14233
4201   4300   1    489      17    9781
4301   4500   57  1163     225   25760
